STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic,Indicator,s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-06,,-13.2,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-07,,-13.3,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-08,,-12.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-CSMCI,Consumer confidence indicator,SA,"Seasonally adjusted data, not calendar adjusted data",BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2020-09,,-11.5,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-09,,-2.7,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-10,,-3.4,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-11,,-3.7,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2018-12,,-4.7,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-01,,-3.0,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-02,,-2.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-03,,-2.8,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-04,,-2.4,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-05,,-1.6,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-06,,-1.9,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-07,,-0.9,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-08,,-0.7,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-09,,-0.6,,,,,
dataflow,ESTAT:EI_BSCO_M(1.0),Consumers confidence indicator and survey results - monthly data,M,Monthly,BS-FS-LY,Financial situation over the last 12 months,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),BAL,Balance,EA20,Euro area – 20 countries (2023-2025),2019-10,,-1.9,,,,,
